f,propuestas,votos,comentarios
Les Corts---Transición ecológica---Urbanismo para los barrios---ciudadano,19,144,26
Les Corts---Transición ecológica---Urbanismo para los barrios---encuentro,32,34,35
Les Corts---Transición ecológica---Urbanismo para los barrios---oficial,12,119,16
Les Corts---Transición ecológica---Urbanismo para los barrios---organización,21,108,26
Les Corts---Transición ecológica---Verde urbano y biodiversidad---ciudadano,5,45,7
Les Corts---Transición ecológica---Verde urbano y biodiversidad---encuentro,7,16,11
Les Corts---Transición ecológica---Verde urbano y biodiversidad---oficial,3,146,9
Les Corts---Transición ecológica---Verde urbano y biodiversidad---organización,4,48,1
Les Corts---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,2,2,2
Les Corts---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,11,12,8
Les Corts---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,6,377,17
Les Corts---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,4,71,7
Les Corts---Vivir Bien---Ciclos de vida---ciudadano,1,1,0
Les Corts---Vivir Bien---Ciclos de vida---encuentro,11,18,5
Les Corts---Vivir Bien---Ciclos de vida---oficial,8,219,26
Les Corts---Vivir Bien---Ciclos de vida---organización,6,110,7
Les Corts---Vivir Bien---Convivencia y seguridad---ciudadano,18,89,17
Les Corts---Vivir Bien---Convivencia y seguridad---encuentro,25,130,19
Les Corts---Vivir Bien---Convivencia y seguridad---oficial,2,15,9
Les Corts---Vivir Bien---Convivencia y seguridad---organización,8,57,5
Les Corts---Vivir Bien---Cultura---ciudadano,2,8,0
Les Corts---Vivir Bien---Cultura---encuentro,47,116,16
Les Corts---Vivir Bien---Cultura---oficial,7,56,26
Les Corts---Vivir Bien---Cultura---organización,3,69,0
Les Corts---Vivir Bien---Deportes---ciudadano,8,16,2
Les Corts---Vivir Bien---Deportes---encuentro,5,10,0
Les Corts---Vivir Bien---Deportes---oficial,4,27,18
Les Corts---Vivir Bien---Deportes---organización,3,11,0
Les Corts---Vivir Bien---Educación y conocimiento---ciudadano,10,103,14
Les Corts---Vivir Bien---Educación y conocimiento---encuentro,22,17,18
Les Corts---Vivir Bien---Educación y conocimiento---oficial,6,84,0
Les Corts---Vivir Bien---Educación y conocimiento---organización,9,178,8
Les Corts---Vivir Bien---Equidad de género y diversidad sexual---encuentro,2,1,0
Les Corts---Vivir Bien---Equidad de género y diversidad sexual---oficial,4,84,3
Les Corts---Vivir Bien---Justicia social---ciudadano,3,11,0
Les Corts---Vivir Bien---Justicia social---encuentro,4,14,0
Les Corts---Vivir Bien---Justicia social---oficial,2,21,2
Les Corts---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,1,1,0
Les Corts---Vivir Bien---Sanidad y salud---ciudadano,2,0,2
Les Corts---Vivir Bien---Sanidad y salud---encuentro,26,63,11
Les Corts---Vivir Bien---Sanidad y salud---oficial,2,20,0
Les Corts---Vivir Bien---Sanidad y salud---organización,1,4,3
Les Corts---Vivir Bien---Vivienda---encuentro,2,13,0
Nou Barris---Buen gobierno---Acción comunitaria---ciudadano,3,21,3
Nou Barris---Buen gobierno---Acción comunitaria---encuentro,3,0,0
Nou Barris---Buen gobierno---Acción comunitaria---oficial,4,62,8
Nou Barris---Buen gobierno---Acción comunitaria---organización,2,18,2
Nou Barris---Buen gobierno---Eficiencia y profesionalidad---encuentro,2,3,1
Nou Barris---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,1,78,1
Nou Barris---Buen gobierno---Participación ciudadana---encuentro,2,1,0
Nou Barris---Buen gobierno---Participación ciudadana---oficial,1,50,3
Nou Barris---Economía plural---Desarrollo y economía de proximidad---ciudadano,2,20,5
Nou Barris---Economía plural---Desarrollo y economía de proximidad---encuentro,2,6,0
Nou Barris---Economía plural---Desarrollo y economía de proximidad---oficial,2,20,4
Nou Barris---Economía plural---Desarrollo y economía de proximidad---organización,1,22,0
Nou Barris---Economía plural---Economía cooperativa social y solidaria---encuentro,17,31,1
Nou Barris---Economía plural---Economía cooperativa social y solidaria---oficial,3,111,14
Nou Barris---Economía plural---Economía cooperativa social y solidaria---organización,1,49,0
Nou Barris---Economía plural---Empleo de calidad---ciudadano,2,22,0
Nou Barris---Economía plural---Empleo de calidad---encuentro,2,6,0
Nou Barris---Economía plural---Empleo de calidad---oficial,2,25,4
Nou Barris---Economía plural---Turismo sostenible---ciudadano,1,8,0
Nou Barris---Economía plural---Turismo sostenible---encuentro,1,3,0
Nou Barris---Economía plural---Turismo sostenible---oficial,2,25,1
Nou Barris---Economía plural---Turismo sostenible---organización,1,3,1
Nou Barris---Economía plural---Un nuevo liderazgo público---ciudadano,2,42,0
Nou Barris---Economía plural---Un nuevo liderazgo público---encuentro,1,0,0
Nou Barris---Transición ecológica---Energía y cambio climático---encuentro,1,2,0
Nou Barris---Transición ecológica---Energía y cambio climático---oficial,3,306,6
Nou Barris---Transición ecológica---Energía y cambio climático---organización,2,62,0
Nou Barris---Transición ecológica---Medio ambiente y espacio público---ciudadano,11,146,10
Nou Barris---Transición ecológica---Medio ambiente y espacio público---encuentro,2,0,0
Nou Barris---Transición ecológica---Medio ambiente y espacio público---oficial,3,38,14
Nou Barris---Transición ecológica---Medio ambiente y espacio público---organización,1,29,2
Nou Barris---Transición ecológica---Movilidad sostenible---ciudadano,23,367,32
Nou Barris---Transición ecológica---Movilidad sostenible---encuentro,11,13,4
Nou Barris---Transición ecológica---Movilidad sostenible---oficial,4,145,25
Nou Barris---Transición ecológica---Movilidad sostenible---organización,7,100,3
Nou Barris---Transición ecológica---Urbanismo para los barrios---ciudadano,23,236,29
Nou Barris---Transición ecológica---Urbanismo para los barrios---encuentro,9,12,1
Nou Barris---Transición ecológica---Urbanismo para los barrios---oficial,18,189,12
Nou Barris---Transición ecológica---Urbanismo para los barrios---organización,39,302,49
Nou Barris---Transición ecológica---Verde urbano y biodiversidad---ciudadano,5,224,5
Nou Barris---Transición ecológica---Verde urbano y biodiversidad---encuentro,11,7,0
Nou Barris---Transición ecológica---Verde urbano y biodiversidad---oficial,6,208,21
Nou Barris---Transición ecológica---Verde urbano y biodiversidad---organización,4,63,1
Nou Barris---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,5,72,5
Nou Barris---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,4,14,3
Nou Barris---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,2,111,11
Nou Barris---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,1,15,0
Nou Barris---Vivir Bien---Ciclos de vida---ciudadano,5,200,8
Nou Barris---Vivir Bien---Ciclos de vida---encuentro,11,32,2
Nou Barris---Vivir Bien---Ciclos de vida---oficial,8,139,2
Nou Barris---Vivir Bien---Ciclos de vida---organización,4,79,7
Nou Barris---Vivir Bien---Convivencia y seguridad---ciudadano,4,71,5
Nou Barris---Vivir Bien---Convivencia y seguridad---encuentro,4,3,1
Nou Barris---Vivir Bien---Convivencia y seguridad---oficial,1,16,6
Nou Barris---Vivir Bien---Convivencia y seguridad---organización,3,43,3
Nou Barris---Vivir Bien---Cultura---ciudadano,3,31,1
Nou Barris---Vivir Bien---Cultura---encuentro,11,30,0
Nou Barris---Vivir Bien---Cultura---oficial,4,81,11
Nou Barris---Vivir Bien---Cultura---organización,1,33,2
Nou Barris---Vivir Bien---Deportes---ciudadano,6,149,23
Nou Barris---Vivir Bien---Deportes---encuentro,1,7,1
Nou Barris---Vivir Bien---Deportes---oficial,5,53,7
Nou Barris---Vivir Bien---Deportes---organización,5,56,1
Nou Barris---Vivir Bien---Educación y conocimiento---ciudadano,6,71,5
Nou Barris---Vivir Bien---Educación y conocimiento---encuentro,35,230,33
Nou Barris---Vivir Bien---Educación y conocimiento---oficial,3,127,4
Nou Barris---Vivir Bien---Educación y conocimiento---organización,13,130,5
Nou Barris---Vivir Bien---Equidad de género y diversidad sexual---encuentro,10,1,0
Nou Barris---Vivir Bien---Equidad de género y diversidad sexual---oficial,4,230,12
Nou Barris---Vivir Bien---Equidad de género y diversidad sexual---organización,1,9,0
Nou Barris---Vivir Bien---Justicia social---ciudadano,2,37,1
Nou Barris---Vivir Bien---Justicia social---encuentro,2,10,2
Nou Barris---Vivir Bien---Justicia social---oficial,5,588,8
Nou Barris---Vivir Bien---Justicia social---organización,3,23,1
Nou Barris---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,1,12,0
Nou Barris---Vivir Bien---Sanidad y salud---ciudadano,5,19,2
Nou Barris---Vivir Bien---Sanidad y salud---encuentro,13,57,13
Nou Barris---Vivir Bien---Sanidad y salud---oficial,2,16,7
Nou Barris---Vivir Bien---Vivienda---ciudadano,2,20,1
Nou Barris---Vivir Bien---Vivienda---encuentro,2,2,0
Nou Barris---Vivir Bien---Vivienda---oficial,4,122,8
Sant Andreu---Buen gobierno---Acción comunitaria---ciudadano,9,69,18
Sant Andreu---Buen gobierno---Acción comunitaria---encuentro,15,24,15
Sant Andreu---Buen gobierno---Acción comunitaria---oficial,3,42,1
Sant Andreu---Buen gobierno---Acción comunitaria---organización,1,22,1
Sant Andreu---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,1,20,0
Sant Andreu---Buen gobierno---Participación ciudadana---ciudadano,1,6,0
Sant Andreu---Buen gobierno---Participación ciudadana---oficial,2,22,0
Sant Andreu---Buen gobierno---Participación ciudadana---organización,1,7,0
Sant Andreu---Economía plural---Desarrollo y economía de proximidad---ciudadano,1,1,1
Sant Andreu---Economía plural---Desarrollo y economía de proximidad---encuentro,18,79,4
Sant Andreu---Economía plural---Desarrollo y economía de proximidad---oficial,8,126,24
Sant Andreu---Economía plural---Desarrollo y economía de proximidad---organización,1,13,0
Sant Andreu---Economía plural---Economía cooperativa social y solidaria---oficial,3,48,1
Sant Andreu---Economía plural---Empleo de calidad---ciudadano,3,47,4
Sant Andreu---Economía plural---Empleo de calidad---oficial,3,46,3
Sant Andreu---Economía plural---Turismo sostenible---ciudadano,1,5,4
Sant Andreu---Economía plural---Turismo sostenible---encuentro,1,6,0
Sant Andreu---Economía plural---Turismo sostenible---oficial,3,49,7
Sant Andreu---Economía plural---Un nuevo liderazgo público---oficial,1,20,0
Sant Andreu---Justicia global---Ciudad de acogida---oficial,1,69,1
Sant Andreu---Transición ecológica---Energía y cambio climático---ciudadano,2,11,2
Sant Andreu---Transición ecológica---Energía y cambio climático---encuentro,2,2,0
Sant Andreu---Transición ecológica---Energía y cambio climático---oficial,5,96,3
Sant Andreu---Transición ecológica---Medio ambiente y espacio público---ciudadano,4,53,0
Sant Andreu---Transición ecológica---Medio ambiente y espacio público---encuentro,30,131,6
Sant Andreu---Transición ecológica---Medio ambiente y espacio público---oficial,5,205,35
Sant Andreu---Transición ecológica---Movilidad sostenible---ciudadano,17,300,17
Sant Andreu---Transición ecológica---Movilidad sostenible---encuentro,44,200,26
Sant Andreu---Transición ecológica---Movilidad sostenible---oficial,6,243,62
Sant Andreu---Transición ecológica---Movilidad sostenible---organización,1,19,0
Sant Andreu---Transición ecológica---Urbanismo para los barrios---ciudadano,24,484,36
Sant Andreu---Transición ecológica---Urbanismo para los barrios---encuentro,24,66,21
Sant Andreu---Transición ecológica---Urbanismo para los barrios---oficial,7,155,5
Sant Andreu---Transición ecológica---Urbanismo para los barrios---organización,8,138,11
Sant Andreu---Transición ecológica---Verde urbano y biodiversidad---ciudadano,3,86,4
Sant Andreu---Transición ecológica---Verde urbano y biodiversidad---encuentro,7,27,1
Sant Andreu---Transición ecológica---Verde urbano y biodiversidad---oficial,1,25,6
Sant Andreu---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,3,105,5
Sant Andreu---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,24,289,7
Sant Andreu---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,3,48,26
Sant Andreu---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,1,3,0
Sant Andreu---Vivir Bien---Ciclos de vida---ciudadano,4,45,3
Sant Andreu---Vivir Bien---Ciclos de vida---encuentro,9,19,2
Sant Andreu---Vivir Bien---Ciclos de vida---oficial,9,145,6
Sant Andreu---Vivir Bien---Convivencia y seguridad---ciudadano,7,232,19
Sant Andreu---Vivir Bien---Convivencia y seguridad---encuentro,5,18,0
Sant Andreu---Vivir Bien---Convivencia y seguridad---oficial,4,125,6
Sant Andreu---Vivir Bien---Convivencia y seguridad---organización,1,13,0
Sant Andreu---Vivir Bien---Cultura---ciudadano,3,63,12
Sant Andreu---Vivir Bien---Cultura---encuentro,16,17,0
Sant Andreu---Vivir Bien---Cultura---oficial,8,134,24
Sant Andreu---Vivir Bien---Cultura---organización,1,49,11
Sant Andreu---Vivir Bien---Deportes---ciudadano,7,134,14
Sant Andreu---Vivir Bien---Deportes---encuentro,39,54,6
Sant Andreu---Vivir Bien---Deportes---oficial,2,29,50
Sant Andreu---Vivir Bien---Deportes---organización,8,383,28
Sant Andreu---Vivir Bien---Educación y conocimiento---ciudadano,6,382,33
Sant Andreu---Vivir Bien---Educación y conocimiento---encuentro,35,335,50
Sant Andreu---Vivir Bien---Educación y conocimiento---oficial,17,827,45
Sant Andreu---Vivir Bien---Educación y conocimiento---organización,1,436,52
Sant Andreu---Vivir Bien---Equidad de género y diversidad sexual---oficial,3,90,4
Sant Andreu---Vivir Bien---Justicia social---ciudadano,2,17,1
Sant Andreu---Vivir Bien---Justicia social---oficial,4,89,2
Sant Andreu---Vivir Bien---Migración interculturalidad y discriminación cero---oficial,3,56,0
Sant Andreu---Vivir Bien---Sanidad y salud---ciudadano,1,61,4
Sant Andreu---Vivir Bien---Sanidad y salud---encuentro,7,37,5
Sant Andreu---Vivir Bien---Sanidad y salud---oficial,3,64,12
Sant Andreu---Vivir Bien---Vivienda---ciudadano,6,122,3
Sant Andreu---Vivir Bien---Vivienda---encuentro,1,7,0
Sant Andreu---Vivir Bien---Vivienda---oficial,4,117,6
Sant Martí---Buen gobierno---Acción comunitaria---ciudadano,5,35,10
Sant Martí---Buen gobierno---Acción comunitaria---encuentro,22,40,25
Sant Martí---Buen gobierno---Acción comunitaria---oficial,4,67,4
Sant Martí---Buen gobierno---Acción comunitaria---organización,1,6,0
Sant Martí---Buen gobierno---Gobierno transparente y rendición de cuentas---ciudadano,2,58,3
Sant Martí---Buen gobierno---Gobierno transparente y rendición de cuentas---encuentro,1,3,0
Sant Martí---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,2,43,1
Sant Martí---Buen gobierno---Participación ciudadana---ciudadano,8,50,3
Sant Martí---Buen gobierno---Participación ciudadana---encuentro,14,18,10
Sant Martí---Buen gobierno---Participación ciudadana---oficial,1,27,9
Sant Martí---Economía plural---Desarrollo y economía de proximidad---ciudadano,16,146,11
Sant Martí---Economía plural---Desarrollo y economía de proximidad---encuentro,9,27,0
Sant Martí---Economía plural---Desarrollo y economía de proximidad---oficial,5,178,34
Sant Martí---Economía plural---Desarrollo y economía de proximidad---organización,2,18,3
Sant Martí---Economía plural---Economía cooperativa social y solidaria---ciudadano,5,74,0
Sant Martí---Economía plural---Economía cooperativa social y solidaria---encuentro,8,10,0
Sant Martí---Economía plural---Economía cooperativa social y solidaria---oficial,6,153,20
Sant Martí---Economía plural---Economía cooperativa social y solidaria---organización,1,15,0
Sant Martí---Economía plural---Empleo de calidad---ciudadano,5,14,0
Sant Martí---Economía plural---Empleo de calidad---encuentro,4,0,0
Sant Martí---Economía plural---Empleo de calidad---oficial,2,44,7
Sant Martí---Economía plural---Turismo sostenible---ciudadano,2,55,1
Sant Martí---Economía plural---Turismo sostenible---encuentro,8,73,1
Sant Martí---Economía plural---Turismo sostenible---oficial,3,100,20
Sant Martí---Economía plural---Un nuevo liderazgo público---ciudadano,2,0,0
Sant Martí---Transición ecológica---Energía y cambio climático---ciudadano,6,78,4
Sant Martí---Transición ecológica---Energía y cambio climático---encuentro,1,6,0
Sant Martí---Transición ecológica---Energía y cambio climático---oficial,2,62,2
Sant Martí---Transición ecológica---Energía y cambio climático---organización,2,34,1
Sant Martí---Transición ecológica---Medio ambiente y espacio público---ciudadano,37,322,45
Sant Martí---Transición ecológica---Medio ambiente y espacio público---encuentro,6,27,2
Sant Martí---Transición ecológica---Medio ambiente y espacio público---oficial,3,150,43
Sant Martí---Transición ecológica---Medio ambiente y espacio público---organización,1,26,0
Sant Martí---Transición ecológica---Movilidad sostenible---ciudadano,58,1194,91
Sant Martí---Transición ecológica---Movilidad sostenible---encuentro,16,75,28
Sant Martí---Transición ecológica---Movilidad sostenible---oficial,5,545,45
Sant Martí---Transición ecológica---Movilidad sostenible---organización,4,45,10
Sant Martí---Transición ecológica---Urbanismo para los barrios---ciudadano,98,1489,163
Sant Martí---Transición ecológica---Urbanismo para los barrios---encuentro,25,83,29
Sant Martí---Transición ecológica---Urbanismo para los barrios---oficial,12,277,17
Sant Martí---Transición ecológica---Urbanismo para los barrios---organización,14,325,25
Sant Martí---Transición ecológica---Verde urbano y biodiversidad---ciudadano,25,374,30
Sant Martí---Transición ecológica---Verde urbano y biodiversidad---encuentro,12,59,21
Sant Martí---Transición ecológica---Verde urbano y biodiversidad---oficial,3,543,18
Sant Martí---Transición ecológica---Verde urbano y biodiversidad---organización,2,53,5
Sant Martí---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,3,39,1
Sant Martí---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,18,51,7
Sant Martí---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,2,48,18
Sant Martí---Vivir Bien---Ciclos de vida---ciudadano,22,228,23
Sant Martí---Vivir Bien---Ciclos de vida---oficial,8,332,14
Sant Martí---Vivir Bien---Ciclos de vida---organización,1,19,1
Sant Martí---Vivir Bien---Convivencia y seguridad---ciudadano,28,166,10
Sant Martí---Vivir Bien---Convivencia y seguridad---encuentro,23,124,29
Sant Martí---Vivir Bien---Convivencia y seguridad---oficial,5,108,29
Sant Martí---Vivir Bien---Convivencia y seguridad---organización,2,26,0
Sant Martí---Vivir Bien---Cultura---ciudadano,22,649,45
Sant Martí---Vivir Bien---Cultura---encuentro,28,119,6
Sant Martí---Vivir Bien---Cultura---oficial,7,252,46
Sant Martí---Vivir Bien---Cultura---organización,4,193,17
Sant Martí---Vivir Bien---Deportes---ciudadano,10,459,45
Sant Martí---Vivir Bien---Deportes---encuentro,7,46,1
Sant Martí---Vivir Bien---Deportes---oficial,1,13,1
Sant Martí---Vivir Bien---Deportes---organización,2,33,4
Sant Martí---Vivir Bien---Educación y conocimiento---ciudadano,18,518,59
Sant Martí---Vivir Bien---Educación y conocimiento---encuentro,4,9,2
Sant Martí---Vivir Bien---Educación y conocimiento---oficial,11,454,6
Sant Martí---Vivir Bien---Educación y conocimiento---organización,3,51,3
Sant Martí---Vivir Bien---Equidad de género y diversidad sexual---encuentro,24,40,6
Sant Martí---Vivir Bien---Equidad de género y diversidad sexual---oficial,4,255,11
Sant Martí---Vivir Bien---Justicia social---ciudadano,6,125,3
Sant Martí---Vivir Bien---Justicia social---oficial,2,28,1
Sant Martí---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,1,0,0
Sant Martí---Vivir Bien---Migración interculturalidad y discriminación cero---encuentro,20,74,2
Sant Martí---Vivir Bien---Migración interculturalidad y discriminación cero---oficial,5,123,17
Sant Martí---Vivir Bien---Sanidad y salud---ciudadano,9,173,11
Sant Martí---Vivir Bien---Sanidad y salud---encuentro,20,143,6
Sant Martí---Vivir Bien---Sanidad y salud---oficial,3,70,16
Sant Martí---Vivir Bien---Sanidad y salud---organización,2,51,1
Sant Martí---Vivir Bien---Vivienda---ciudadano,12,279,6
Sant Martí---Vivir Bien---Vivienda---encuentro,5,12,0
Sant Martí---Vivir Bien---Vivienda---oficial,5,393,24
Sant Martí---Vivir Bien---Vivienda---organización,2,40,0
Sants Montjuïc---Buen gobierno---Acción comunitaria---ciudadano,13,47,17
Sants Montjuïc---Buen gobierno---Acción comunitaria---encuentro,3,17,2
Sants Montjuïc---Buen gobierno---Acción comunitaria---oficial,1,25,1
Sants Montjuïc---Buen gobierno---Acción comunitaria---organización,2,13,0
Sants Montjuïc---Buen gobierno---Administración inteligente e inclusiva---ciudadano,1,7,0
Sants Montjuïc---Buen gobierno---Administración inteligente e inclusiva---organización,1,11,1
Sants Montjuïc---Buen gobierno---Eficiencia y profesionalidad---encuentro,2,11,0
Sants Montjuïc---Buen gobierno---Gobierno transparente y rendición de cuentas---ciudadano,9,48,9
Sants Montjuïc---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,1,17,0
Sants Montjuïc---Buen gobierno---Gobierno transparente y rendición de cuentas---organización,1,1,1
Sants Montjuïc---Buen gobierno---Participación ciudadana---ciudadano,14,47,15
Sants Montjuïc---Buen gobierno---Participación ciudadana---encuentro,4,12,6
Sants Montjuïc---Buen gobierno---Participación ciudadana---oficial,3,68,0
Sants Montjuïc---Buen gobierno---Participación ciudadana---organización,6,62,7
Sants Montjuïc---Economía plural---Desarrollo y economía de proximidad---ciudadano,13,61,4
Sants Montjuïc---Economía plural---Desarrollo y economía de proximidad---encuentro,5,21,3
Sants Montjuïc---Economía plural---Desarrollo y economía de proximidad---oficial,6,102,16
Sants Montjuïc---Economía plural---Economía cooperativa social y solidaria---ciudadano,8,37,0
Sants Montjuïc---Economía plural---Economía cooperativa social y solidaria---encuentro,7,26,4
Sants Montjuïc---Economía plural---Economía cooperativa social y solidaria---oficial,5,63,20
Sants Montjuïc---Economía plural---Empleo de calidad---ciudadano,4,24,0
Sants Montjuïc---Economía plural---Empleo de calidad---encuentro,5,12,1
Sants Montjuïc---Economía plural---Turismo sostenible---ciudadano,10,46,2
Sants Montjuïc---Economía plural---Turismo sostenible---oficial,2,29,0
Sants Montjuïc---Economía plural---Un nuevo liderazgo público---ciudadano,1,3,0
Sants Montjuïc---Economía plural---Un nuevo liderazgo público---oficial,1,24,2
Sants Montjuïc---Justicia global---Ciudad de acogida---encuentro,1,15,1
Sants Montjuïc---Transición ecológica---Energía y cambio climático---ciudadano,9,207,12
Sants Montjuïc---Transición ecológica---Medio ambiente y espacio público---ciudadano,22,251,29
Sants Montjuïc---Transición ecológica---Medio ambiente y espacio público---encuentro,6,15,1
Sants Montjuïc---Transición ecológica---Medio ambiente y espacio público---organización,3,41,1
Sants Montjuïc---Transición ecológica---Movilidad sostenible---ciudadano,75,1126,93
Sants Montjuïc---Transición ecológica---Movilidad sostenible---encuentro,16,111,5
Sants Montjuïc---Transición ecológica---Movilidad sostenible---oficial,8,955,101
Sants Montjuïc---Transición ecológica---Movilidad sostenible---organización,2,32,7
Sants Montjuïc---Transición ecológica---Urbanismo para los barrios---ciudadano,48,603,92
Sants Montjuïc---Transición ecológica---Urbanismo para los barrios---encuentro,10,48,10
Sants Montjuïc---Transición ecológica---Urbanismo para los barrios---oficial,9,334,17
Sants Montjuïc---Transición ecológica---Urbanismo para los barrios---organización,12,157,11
Sants Montjuïc---Transición ecológica---Verde urbano y biodiversidad---ciudadano,26,409,35
Sants Montjuïc---Transición ecológica---Verde urbano y biodiversidad---encuentro,6,25,28
Sants Montjuïc---Transición ecológica---Verde urbano y biodiversidad---oficial,5,211,5
Sants Montjuïc---Transición ecológica---Verde urbano y biodiversidad---organización,1,18,0
Sants Montjuïc---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,8,54,4
Sants Montjuïc---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,5,17,1
Sants Montjuïc---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,2,23,15
Sants Montjuïc---Vivir Bien---Ciclos de vida---ciudadano,7,49,7
Sants Montjuïc---Vivir Bien---Ciclos de vida---encuentro,17,73,9
Sants Montjuïc---Vivir Bien---Ciclos de vida---oficial,5,111,8
Sants Montjuïc---Vivir Bien---Ciclos de vida---organización,2,26,0
Sants Montjuïc---Vivir Bien---Convivencia y seguridad---ciudadano,28,265,17
Sants Montjuïc---Vivir Bien---Convivencia y seguridad---encuentro,3,29,2
Sants Montjuïc---Vivir Bien---Convivencia y seguridad---oficial,2,101,15
Sants Montjuïc---Vivir Bien---Convivencia y seguridad---organización,5,47,0
Sants Montjuïc---Vivir Bien---Cultura---ciudadano,30,499,20
Sants Montjuïc---Vivir Bien---Cultura---encuentro,22,96,1
Sants Montjuïc---Vivir Bien---Cultura---oficial,7,129,32
Sants Montjuïc---Vivir Bien---Cultura---organización,2,31,11
Sants Montjuïc---Vivir Bien---Defensa y protección de los derechos humanos---ciudadano,2,12,1
Sants Montjuïc---Vivir Bien---Deportes---ciudadano,10,277,16
Sants Montjuïc---Vivir Bien---Deportes---encuentro,21,163,10
Sants Montjuïc---Vivir Bien---Deportes---oficial,3,77,54
Sants Montjuïc---Vivir Bien---Deportes---organización,1,21,16
Sants Montjuïc---Vivir Bien---Educación y conocimiento---ciudadano,14,160,18
Sants Montjuïc---Vivir Bien---Educación y conocimiento---encuentro,22,298,19
Sants Montjuïc---Vivir Bien---Educación y conocimiento---oficial,6,134,4
Sants Montjuïc---Vivir Bien---Educación y conocimiento---organización,1,17,4
Sants Montjuïc---Vivir Bien---Equidad de género y diversidad sexual---ciudadano,4,33,0
Sants Montjuïc---Vivir Bien---Equidad de género y diversidad sexual---encuentro,2,7,1
Sants Montjuïc---Vivir Bien---Equidad de género y diversidad sexual---oficial,2,36,0
Sants Montjuïc---Vivir Bien---Justicia social---ciudadano,2,11,2
Sants Montjuïc---Vivir Bien---Justicia social---encuentro,4,17,4
Sants Montjuïc---Vivir Bien---Justicia social---oficial,1,19,1
Sants Montjuïc---Vivir Bien---Justicia social---organización,2,37,0
Sants Montjuïc---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,4,28,1
Sants Montjuïc---Vivir Bien---Migración interculturalidad y discriminación cero---encuentro,10,55,3
Sants Montjuïc---Vivir Bien---Migración interculturalidad y discriminación cero---oficial,4,59,13
Sants Montjuïc---Vivir Bien---Sanidad y salud---ciudadano,8,25,3
Sants Montjuïc---Vivir Bien---Sanidad y salud---encuentro,5,26,2
Sants Montjuïc---Vivir Bien---Sanidad y salud---oficial,2,76,6
Sants Montjuïc---Vivir Bien---Vivienda---ciudadano,4,109,5
Sants Montjuïc---Vivir Bien---Vivienda---encuentro,4,30,1
Sants Montjuïc---Vivir Bien---Vivienda---oficial,5,104,9
Sants Montjuïc---Vivir Bien---Vivienda---organización,1,11,0
Sarrià - Sant Gervasi---Buen gobierno---Acción comunitaria---ciudadano,5,9,4
Sarrià - Sant Gervasi---Buen gobierno---Acción comunitaria---encuentro,14,11,11
Sarrià - Sant Gervasi---Buen gobierno---Acción comunitaria---oficial,3,30,0
Sarrià - Sant Gervasi---Buen gobierno---Administración inteligente e inclusiva---encuentro,1,3,0
Sarrià - Sant Gervasi---Buen gobierno---Administración inteligente e inclusiva---oficial,1,11,0
Sarrià - Sant Gervasi---Buen gobierno---Eficiencia y profesionalidad---encuentro,1,0,0
Sarrià - Sant Gervasi---Buen gobierno---Gobierno transparente y rendición de cuentas---encuentro,1,1,0
Sarrià - Sant Gervasi---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,4,58,9
Sarrià - Sant Gervasi---Buen gobierno---Participación ciudadana---ciudadano,2,31,2
Sarrià - Sant Gervasi---Buen gobierno---Participación ciudadana---encuentro,3,1,2
Sarrià - Sant Gervasi---Buen gobierno---Participación ciudadana---oficial,1,26,6
Sarrià - Sant Gervasi---Economía plural---Desarrollo y economía de proximidad---ciudadano,1,2,0
Sarrià - Sant Gervasi---Economía plural---Desarrollo y economía de proximidad---encuentro,13,36,2
Sarrià - Sant Gervasi---Economía plural---Desarrollo y economía de proximidad---oficial,5,103,14
