ID de cita,Títol,Descripció,Data,Adreça,Districte,Categoria,Subcategoria,Assistents,Propostes,Intervencions,URL
557,Respectar i gaudir l'espai públic. Millorar el nostre entorn,,02/04/2016,"Carrer de Romaní', 6, 08042 Barcelona, Barcelona, Espanya",Nou Barris,Bon viure,Convivència i seguretat,8,10,25,https://decidim.barcelona/meetings/respectar-i-gaudir-l-espai-public-millorar-el-nostre-entorn
558,Escola Can Maiol: Una Barcelona diversa que asseguri el bon viure_Salut (1r i 2n primària),"Els infants de l'Escola Can Maiol de l'aula d'integració van participar a una cita presencial on van debatre diferents qüestions per millorar la salut de la població. Van participar 8 infants, 5 nenes i 3 nens.",07/04/2016,"Carrer de Sagunt, 92, 08014 Barcelona, Espanya",,Bon viure,Sanitat i salut,8,6,,https://decidim.barcelona/meetings/escola-can-maiol-una-barcelona-diversa-que-asseguri-el-bon-viure_salut-1r-i-2n-primaria
560,IES Alzina: Una Barcelona diversa que asseguri el bon viure,"Els estudiants que assisteixen a l'aula de reforç escolar de l'IES Alzina van participar a una cita presencial on van estar debatent diverses propostes per millorar la sanitat i la salut de la població de Barcelona. Van participar 15 estudiants, 10 nois i 5 noies.",05/04/2016,"Passatge de Salvador Riera, 2, 08027 Barcelona, Barcelona, Espanya",,Bon viure,Sanitat i salut,15,11,,https://decidim.barcelona/meetings/ies-alzina-una-barcelona-diversa-que-asseguri-el-bon-viure
561,Fiscalitat municipal amb criteris de justícia social i ambiental,,29/03/2015,"Plaça de Sant Miquel, 4, Barcelona, España",,Economia plural,Un nou lideratge públic,13,9,39,https://decidim.barcelona/meetings/fiscalitat-municipal-amb-criteris-de-justicia-social-i-ambiental
563,Sensellarisme,"La sessió es va realitzar en tres grups per treballar: repàs del diagnòstic, l’escenari desitjat i
una pluja d’idees sobre propostes més concretes",29/03/2016,"Carrer del Cardener, 08024 Barcelona, Barcelona, Espanya",Gràcia,Transició ecològica,Urbanisme per als barris,52,21,50,https://decidim.barcelona/meetings/sensellarisme-a9152216-84a8-4816-b2c8-a508e5899929
567,Escola Can Maiol: Una Barcelona més humana i en transició ecològica (3r primària),"Els infants de l'Escola Can Maiol de l'aula d'integració van participar a una cita presencial on van debatre diferents qüestions per millorar el medi ambient de Barcelona. Van participar 10 infants de 3r de primària, 7 nens i 3 nenes,",07/04/2016,"Carrer de Sagunt, 92, 08014 Barcelona, Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,10,7,,https://decidim.barcelona/meetings/escola-can-maiol-una-barcelona-mes-humana-i-en-transicio-ecologica-3r-primaria
568,Activitat per infants complementària al debat d'innovació educativa i model educatiu,"L’activitat s'ha realitzat a la plaça consell de la vila de sarrià mentre es feia el debat d'innovació educativa i ha consistit en reflexionar sobre les coses que ens agraden i no ens agraden de la ciutat on
vivim i construir la ciutat dels nostres somnis.",07/04/2016,"Plaça del Consell de la Vila, Barcelona, España",Sarrià - Sant Gervasi,Bon viure,Educació i coneixement ,25,0,,https://decidim.barcelona/meetings/activitat-per-infants-complementaria-al-debat-d-innovacio-educativa-i-model-educatiu
569,Esplai Druida: Una Barcelona diversa que asseguri el bon viure,"20 nens i nenes de l'Esplai Druida van participar a la cita presencial que va tenir lloc a l'Escola Mercè Rodoreda. Aquests van estar debatent diverses propostes per millorar les condicions de vida de la població. Concretament, aquests infants van focalitzar el debat en els infants que pateixen bulling.",08/04/2016,"Carrer del Vesuvi, 35, 08016 Barcelona, Barcelona, España",,Bon viure,Convivència i seguretat,20,4,,https://decidim.barcelona/meetings/esplai-druida-una-barcelona-diversa-que-asseguri-el-bon-viure
570,Quina Rambla volem?,50 infants i adolescents han participat a la cita presencial que ha tingut lloc a la rambla de Santa Mònica. Aquests han fet diverses propostes per millorar aquest espai.,09/04/2016,"Rambla de Santa Mònica, Barcelona, España",Ciutat Vella,Transició ecològica,Medi ambient i espai públic,50,21,,https://decidim.barcelona/meetings/quina-rambla-volem
571,Consell de Barri,Turisme al Turó de la Rovira,11/03/2016,"IES Ferran Tallada, Barcelona, España",Horta - Guinardó,Economia plural,Turisme sostenible,18,3,42,https://decidim.barcelona/meetings/consell-de-barri
572,Consell de Barri,"Les Corts , Espai Públic ús de voreres",07/03/2016,"Plaça de Comas, 18, 08028 Barcelona, Barcelona, España",Les Corts,Bon viure,Convivència i seguretat,45,17,5,https://decidim.barcelona/meetings/consell-de-barri-cdfd846c-92d0-471b-924e-cee9467b520d
573,consell de barri ,"programa d'actuació del districte
Propostes tractades:
",09/03/2016,"Plaça de Comas, Barcelona, España",Les Corts,Bon govern,Participació ciutadana,41,4,2,https://decidim.barcelona/meetings/consell-de-barri-55f173ad-8c54-4ad9-97d3-198712776215
574,"A les places, transformant l’espai públic!","A les places, transformant l’espai públic!",24/03/2016,"Carrer del Vallespir, 194, 08014 Barcelona, Barcelona, España",Les Corts,Transició ecològica,Mobilitat sostenible,10,6,8,https://decidim.barcelona/meetings/a-les-places-transformant-l-espai-public-055a4545-f900-40aa-b361-43e773380f5b
575,Cooperatives i economia solidària,,11/04/2016,"Carrer de la Creu Coberta, 104, Barcelona, España",Sants Montjuïc,Economia plural,"Economia cooperativa, social i solidària",8,0,25,https://decidim.barcelona/meetings/cooperatives-i-economia-solidaria
576,Ús de l´espai públic a Badal,"Recollir, en sessió oberta al carrer, propostes per millorar la convivència i l´ús de l´espai públic al barri. ",11/04/2016,Plaça Olivereta,Sants Montjuïc,Bon viure,Convivència i seguretat,18,0,15,https://decidim.barcelona/meetings/us-de-l-espai-public-a-badal
577,"Jornada de ciutat de PAM sobre Economia Cooperativa, Social i Solidària i Economia de les Cures",,17/02/2016,"Carrer de Sant Adrià, 20, 08030 Barcelona, Barcelona, Espanya",,Economia plural,"Economia cooperativa, social i solidària",96,0,288,https://decidim.barcelona/meetings/jornada-de-ciutat-de-pam-sobre-economia-cooperativa-social-i-solidaria-i-economia-de-les-cures
578,Debat Taula de veins i entitats barri Torre Baró,Debat veinal PAD/PAM. Propostes per millorar Torre Baró,07/04/2016,casal barri torre baro,Nou Barris,Transició ecològica,Urbanisme per als barris,60,7,100,https://decidim.barcelona/meetings/debat-taula-de-veins-i-entitats-barri-torre-baro
